Player,Tm,Pos,Status,Injury Comment,Practice Status
Mack Hollins,ATL,WR,Out,Ankle,Did Not Participate In Practice
Calais Campbell,ATL,DL,,NIR - Rest,Did Not Participate In Practice
DeAundre Alford,ATL,CB,,Ankle,Full Participation In Practice
David Onyemata,ATL,DL,,Ankle,Full Participation In Practice
Younghoe Koo,ATL,K,,Back,Full Participation In Practice
Taylor Heinicke,ATL,QB,Questionable,Hamstring,Limited Participation In Practice
Dane Jackson,BUF,CB,,Concussion,Did Not Participate In Practice
Josh Allen,BUF,QB,,Shoulder,Full Participation In Practice
Dorian Williams,BUF,LB,,Knee,Full Participation In Practice
Trent Sherfield,BUF,WR,,Ankle,Full Participation In Practice
Micah Hyde,BUF,S,,Neck,Limited Participation In Practice
Taron Johnson,BUF,CB,,Concussion,Limited Participation In Practice
Cameron Lewis,BUF,CB,,Shoulder,Limited Participation In Practice
Taylor Rapp,BUF,S,,Neck,Limited Participation In Practice
Hayden Hurst,CAR,TE,Out,Concussion,Did Not Participate In Practice
Adam Thielen,CAR,WR,,Rest,Did Not Participate In Practice
C.J. Henderson,CAR,CB,Doubtful,Concussion,Full Participation In Practice
Bryce Young,CAR,QB,,Thigh,Full Participation In Practice
Taylor Moton,CAR,T,,Knee,Full Participation In Practice
Sam Franklin,CAR,S,Questionable,Quadriceps,Limited Participation In Practice
Jaycee Horn,CAR,CB,Doubtful,Hamstring,Limited Participation In Practice
Jeremy Chinn,CAR,S,Out,Quadriceps,Limited Participation In Practice
Frankie Luvu,CAR,LB,Questionable,Shoulder,Limited Participation In Practice
Marquis Haynes,CAR,OLB,Questionable,Back,Limited Participation In Practice
Yetur Gross-Matos,CAR,OLB,Out,Hamstring,Limited Participation In Practice
Noah Sewell,CHI,LB,,Knee,Did Not Participate In Practice
D'Onta Foreman,CHI,RB,,Ankle,Did Not Participate In Practice
Lucas Patrick,CHI,OL,,Back,Did Not Participate In Practice
Larry Borom,CHI,OL,,Illness,Did Not Participate In Practice
Khari Blasingame,CHI,FB,,Shoulder,Full Participation In Practice
Tee Higgins,CIN,WR,Out,Hamstring,Did Not Participate In Practice
Joe Burrow,CIN,QB,Out,Wrist,Did Not Participate In Practice
Germaine Pratt,CIN,LB,Questionable,Illness,Did Not Participate In Practice
Cam Taylor-Britt,CIN,CB,Out,Quad,Did Not Participate In Practice
D'Ante Smith,CIN,T,Doubtful,Knee,Did Not Participate In Practice
D.J. Reader,CIN,DT,,Illness,Full Participation In Practice
Jonah Williams,CIN,T,,Shoulder,Full Participation In Practice
Akeem Davis-Gaither,CIN,LB,,Knee,Full Participation In Practice
Cameron Sample,CIN,DE,,Knee,Full Participation In Practice
B.J. Hill,CIN,DT,,Knee,Full Participation In Practice
Trenton Irwin,CIN,WR,,Hip,Full Participation In Practice
Sam Hubbard,CIN,DE,,Ankle,Full Participation In Practice
Andrei Iosivas,CIN,WR,,Knee,Full Participation In Practice
Chase Brown,CIN,RB,Questionable,Hamstring,Full Participation In Practice
Anthony Walker,CLE,LB,,Hamstring,Did Not Participate In Practice
Za'Darius Smith,CLE,DE,,NIR - Rest,Did Not Participate In Practice
Denzel Ward,CLE,CB,,Shoulder,Did Not Participate In Practice
Marquise Goodwin,CLE,WR,,Concussion,Did Not Participate In Practice
Dawand Jones,CLE,T,,Knee,Full Participation In Practice
Jordan Kunaszyk,CLE,LB,,Knee,Full Participation In Practice
Wyatt Teller,CLE,G,,Ankle,Full Participation In Practice
Matthew Adams,CLE,LB,,Quad,Full Participation In Practice
Mike Ford,CLE,CB,,Thumb,Full Participation In Practice
Myles Garrett,CLE,DE,,NIR - Rest,Limited Participation In Practice
Ogbonnia Okoronkwo,CLE,DE,,Groin,Limited Participation In Practice
Juan Thornhill,CLE,S,,Calf,Limited Participation In Practice
Greg Newsome II,CLE,CB,,Calf,Limited Participation In Practice
Joel Bitonio,CLE,G,,NIR - Rest,Limited Participation In Practice
David Njoku,CLE,TE,,NIR - Rest,Limited Participation In Practice
Grant Delpit,CLE,S,,Thigh,Limited Participation In Practice
Andrew Ogletree,IND,TE,,Foot,Did Not Participate In Practice
Julius Brents,IND,CB,,Quad,Did Not Participate In Practice
Grant Stuard,IND,LB,,Illness,Did Not Participate In Practice
Rodney Thomas II,IND,S,,Knee,Full Participation In Practice
Ryan Kelly,IND,C,,Concussion,Full Participation In Practice
Antonio Hamilton,ARI,CB,,Groin,Did Not Participate In Practice
Michael Wilson,ARI,WR,,Shoulder,Did Not Participate In Practice
Kevin Strong,ARI,DL,,Knee,Did Not Participate In Practice
Marquise Brown,ARI,WR,,Heel,Did Not Participate In Practice
Emari Demercado,ARI,RB,,Toe,Limited Participation In Practice
Joey Blount,ARI,S,,Knee,Limited Participation In Practice
Jonathan Ledbetter,ARI,DL,,Shoulder,Limited Participation In Practice
Zach Pascal,ARI,WR,,Hamstring,Limited Participation In Practice
Rico Dowdle,DAL,RB,Questionable,Ankle,Did Not Participate In Practice
Johnathan Hankins,DAL,DT,,NIR - Personal,Did Not Participate In Practice
Jayron Kearse,DAL,S,Doubtful,Back,Did Not Participate In Practice
Tyron Smith,DAL,T,,Rest,Did Not Participate In Practice
Michael Gallup,DAL,WR,,Personal,Did Not Participate In Practice
CeeDee Lamb,DAL,WR,,Ankle,Full Participation In Practice
Terence Steele,DAL,T,,Ankle,Full Participation In Practice
KaVontae Turpin,DAL,WR,,Shoulder,Full Participation In Practice
Osa Odighizuwa,DAL,DT,,Hamstring,Full Participation In Practice
Peyton Hendershot,DAL,TE,,Ankle,Full Participation In Practice
Baron Browning,DEN,OLB,,Wrist,Full Participation In Practice
Samaje Perine,DEN,RB,,Knee,Full Participation In Practice
Nik Bonitto,DEN,OLB,,Shoulder,Full Participation In Practice
Mitchell Fraboni,DEN,LS,,Back,Full Participation In Practice
Mike Purcell,DEN,DL,,Elbow,Full Participation In Practice
Josey Jewell,DEN,LB,,Back,Full Participation In Practice
P.J. Locke,DEN,S,,Ankle,Limited Participation In Practice
D.J. Jones,DEN,DT,,Knee,Limited Participation In Practice
Jonah Jackson,DET,G,Out,Wrist,Did Not Participate In Practice
Ifeatu Melifonwu,DET,S,,Hand,Full Participation In Practice
Frank Ragnow,DET,C,,Toe,Full Participation In Practice
Isaiah Buggs,DET,DL,,Illness,Full Participation In Practice
Josiah Deguara,GNB,TE,Doubtful,Hip,Did Not Participate In Practice
Aaron Jones,GNB,RB,Out,Knee,Did Not Participate In Practice
Luke Musgrave,GNB,TE,,Abdomen,Did Not Participate In Practice
Emanuel Wilson,GNB,RB,,Shoulder,Full Participation In Practice
Keisean Nixon,GNB,CB,,Ankle,Full Participation In Practice
De'Vondre Campbell,GNB,LB,Questionable,Neck,Full Participation In Practice
Corey Ballentine,GNB,CB,,Shoulder,Full Participation In Practice
Rashan Gary,GNB,LB,,Shoulder,Full Participation In Practice
Jayden Reed,GNB,WR,,Chest,Full Participation In Practice
Christian Watson,GNB,WR,,Shoulder,Full Participation In Practice
Kenny Clark,GNB,DL,,Shoulder,Limited Participation In Practice
AJ Dillon,GNB,RB,Questionable,Groin,Limited Participation In Practice
Jaire Alexander,GNB,CB,Questionable,Shoulder,Limited Participation In Practice
Darnell Savage Jr.,GNB,S,Out,Calf,Limited Participation In Practice
Rudy Ford,GNB,S,Questionable,Biceps,Limited Participation In Practice
Elgton Jenkins,GNB,OL,,Knee,Limited Participation In Practice
Dontayvion Wicks,GNB,WR,Questionable,Concussion,Limited Participation In Practice
Jimmie Ward,HOU,S,,Hamstring,Did Not Participate In Practice
Case Keenum,HOU,QB,,Calf,Did Not Participate In Practice
Jake Hansen,HOU,LB,,Hamstring,Did Not Participate In Practice
Noah Brown,HOU,WR,,Knee,Did Not Participate In Practice
Laremy Tunsil,HOU,T,,Knee,Full Participation In Practice
Henry To'oTo'o,HOU,LB,,Concussion,Full Participation In Practice
Will Anderson,HOU,DE,,Knee,Full Participation In Practice
Juice Scruggs,HOU,OL,,Hamstring,Full Participation In Practice
Charlie Heck,HOU,T,,Back,Full Participation In Practice
Dameon Pierce,HOU,RB,,Ankle,Full Participation In Practice
Tyson Campbell,JAX,CB,,Hamstring,Did Not Participate In Practice
Zay Jones,JAX,WR,,Knee,Limited Participation In Practice
Roy Robertson-Harris,JAX,DL,,Ankle,Limited Participation In Practice
Mecole Hardman,KAN,WR,,Thumb,Did Not Participate In Practice
L'Jarius Sneed,KAN,CB,,Knee,Full Participation In Practice
Donovan Smith,KAN,T,,Neck,Full Participation In Practice
Kadarius Toney,KAN,WR,,Ankle,Full Participation In Practice
Joshua Williams,KAN,DB,,Shoulder,Full Participation In Practice
Jerick McKinnon,KAN,RB,,Groin,Limited Participation In Practice
Braxton Berrios,MIA,WR,,Hamstring,Full Participation In Practice
De'Von Achane,MIA,RB,Questionable,Knee,Limited Participation In Practice
Alec Ingold,MIA,FB,Questionable,Foot,Limited Participation In Practice
Austin Jackson,MIA,OL,Questionable,Oblique,Limited Participation In Practice
Robert Jones,MIA,OL,Doubtful,Knee,Limited Participation In Practice
Durham Smythe,MIA,TE,Questionable,Ankle,Limited Participation In Practice
Robert Hunt,MIA,OL,Questionable,Hamstring,Limited Participation In Practice
Terron Armstead,MIA,T,Questionable,Knee,Limited Participation In Practice
Chase Claypool,MIA,WR,Questionable,Knee,Limited Participation In Practice
Lester Cotton,MIA,G,Questionable,Hip,Limited Participation In Practice
Raheem Mostert,MIA,RB,,Ankle,Limited Participation In Practice
Tyreek Hill,MIA,WR,,Hand,Limited Participation In Practice
Jaren Hall,MIN,QB,,Concussion,Full Participation In Practice
Brian Asamoah,MIN,LB,,Ankle,Full Participation In Practice
Nick Mullens,MIN,QB,,Back,Full Participation In Practice
Justin Jefferson,MIN,WR,,Hamstring,Limited Participation In Practice
Akayleb Evans,MIN,CB,,Calf,Limited Participation In Practice
T.J. Hockenson,MIN,TE,,Ribs,Limited Participation In Practice
Kendre Miller,NOR,RB,,Ankle,Did Not Participate In Practice
Marshon Lattimore,NOR,CB,,Ankle,Did Not Participate In Practice
James Hurst,NOR,OL,,Illness,Full Participation In Practice
Ryan Ramczyk,NOR,T,,Knee,Limited Participation In Practice
Isaiah Foskey,NOR,DE,,Quadricep,Limited Participation In Practice
Myles Bryant,NWE,DB,,Chest,Limited Participation In Practice
Ja'Whaun Bentley,NWE,LB,,Hamstring,Limited Participation In Practice
Deatrich Wise Jr.,NWE,DL,,Shoulder,Limited Participation In Practice
Matthew Slater,NWE,WR,,Ankle,Limited Participation In Practice
Trent Brown,NWE,OL,,Ankle,Limited Participation In Practice
Christian Barmore,NWE,DL,,Knee,Limited Participation In Practice
DeVante Parker,NWE,WR,,Concussion,Limited Participation In Practice
Jonathan Jones,NWE,DB,,Knee,Limited Participation In Practice
Evan Neal,NYG,T,,Ankle,Did Not Participate In Practice
Dexter Lawrence,NYG,DL,,Hamstring,Did Not Participate In Practice
Tyre Phillips,NYG,T,,Knee,Full Participation In Practice
Eric Gray,NYG,RB,,Ankle,Full Participation In Practice
Adoree' Jackson,NYG,CB,,Concussion,Full Participation In Practice
Andrew Thomas,NYG,T,,Knee,Full Participation In Practice
Saquon Barkley,NYG,RB,,NIR - Rest,Full Participation In Practice
Sterling Shepard,NYG,WR,,Hip,Full Participation In Practice
Darius Slayton,NYG,WR,,Neck,Limited Participation In Practice
Tre Hawkins,NYG,CB,,Shoulder,Limited Participation In Practice
Bobby Okereke,NYG,LB,,Hip,Limited Participation In Practice
John Michael Schmitz,NYG,C,,Finger,Limited Participation In Practice
Michael Carter,NYJ,CB,Doubtful,Hamstring,Did Not Participate In Practice
Mekhi Becton,NYJ,T,Questionable,Ankle,Did Not Participate In Practice
Billy Turner,NYJ,T,Questionable,Finger,Full Participation In Practice
Duane Brown,NYJ,T,Questionable,Hip,Full Participation In Practice
Kenny Yeboah,NYJ,TE,Questionable,Hamstring,Full Participation In Practice
Jeremy Ruckert,NYJ,TE,,Shoulder,Full Participation In Practice
John Franklin-Myers,NYJ,DL,,Knee,Full Participation In Practice
Chazz Surratt,NYJ,LB,,Ankle,Full Participation In Practice
Garrett Wilson,NYJ,WR,,Elbow,Full Participation In Practice
Tony Adams,NYJ,S,,Finger,Full Participation In Practice
Jermaine Johnson II,NYJ,LB,,Hip,Full Participation In Practice
Quincy Williams,NYJ,LB,,Knee,Full Participation In Practice
Samuel Eguavoen,NYJ,LB,Questionable,Hip,Limited Participation In Practice
Chris Hubbard,TEN,OL,,Biceps,Did Not Participate In Practice
Luke Gifford,TEN,LB,,Shin,Did Not Participate In Practice
Treylon Burks,TEN,WR,,Concussion,Did Not Participate In Practice
K'Von Wallace,TEN,S,,Concussion,Full Participation In Practice
Denico Autry,TEN,DL,,NIR - Rest,Full Participation In Practice
DeAndre Hopkins,TEN,WR,,NIR - Rest,Full Participation In Practice
Derrick Henry,TEN,RB,,Ankle,Full Participation In Practice
Andre Dillard,TEN,T,,Concussion,Full Participation In Practice
Sean Murphy-Bunting,TEN,CB,,Thumb,Full Participation In Practice
Ryan Tannehill,TEN,QB,,Ankle,Full Participation In Practice
Will Levis,TEN,QB,,Foot,Full Participation In Practice
Terrell Edmunds,TEN,S,,Shoulder,Limited Participation In Practice
Justin Evans,PHI,S,,Knee,Did Not Participate In Practice
Grant Calcaterra,PHI,TE,,Ankle,Did Not Participate In Practice
Derek Barnett,PHI,DE,,NIR - Personal,Did Not Participate In Practice
Dallas Goedert,PHI,TE,,Forearm,Did Not Participate In Practice
Milton Williams,PHI,DT,,Concussion,Did Not Participate In Practice
Julio Jones,PHI,WR,,Knee,Full Participation In Practice
A.J. Brown,PHI,WR,,Thigh,Limited Participation In Practice
D'Andre Swift,PHI,RB,,Ankle,Limited Participation In Practice
Quez Watkins,PHI,WR,,Hamstring,Limited Participation In Practice
Levi Wallace,PIT,CB,,NIR - Rest,Did Not Participate In Practice
Isaac Seumalo,PIT,G,,NIR - Rest,Did Not Participate In Practice
Minkah Fitzpatrick,PIT,S,,Hamstring,Did Not Participate In Practice
Patrick Peterson,PIT,CB,,NIR - Rest,Did Not Participate In Practice
George Pickens,PIT,WR,,Shin,Limited Participation In Practice
Cameron Heyward,PIT,DT,,NIR - Rest,Limited Participation In Practice
Nick Herbig,PIT,LB,,Hamstring,Limited Participation In Practice
Montravius Adams,PIT,DT,,Ankle,Limited Participation In Practice
James Pierre,PIT,CB,,Shoulder,Limited Participation In Practice
Maxx Crosby,LVR,DE,,Knee,Did Not Participate In Practice
Roderic Teamer,LVR,S,,Hamstring,Full Participation In Practice
Andre James,LVR,C,,Knee,Full Participation In Practice
Robert Spillane,LVR,LB,,Ankle,Limited Participation In Practice
Marcus Epps,LVR,S,,Neck,Limited Participation In Practice
Kolton Miller,LVR,T,,Shoulder,Limited Participation In Practice
Tre'von Moehrig,LVR,S,,Back,Limited Participation In Practice
Jack Jones,LVR,CB,,Knee,Limited Participation In Practice
Quentin Lake,LAR,DB,,Hamstring,Did Not Participate In Practice
Puka Nacua,LAR,WR,,Shoulder,Full Participation In Practice
Cobie Durant,LAR,DB,,Shoulder,Full Participation In Practice
Kyren Williams,LAR,RB,,Ankle,Full Participation In Practice
Jason Taylor,LAR,DB,,Hip,Full Participation In Practice
Michael Hoecht,LAR,OLB,,Shoulder,Full Participation In Practice
Larrell Murchison,LAR,DT,,Knee,Limited Participation In Practice
Kevin Dotson,LAR,OL,,Shoulder,Limited Participation In Practice
Rob Havenstein,LAR,T,,NIR - Rest,Limited Participation In Practice
Cooper Kupp,LAR,WR,,Ankle,Limited Participation In Practice
Coleman Shelton,LAR,G,,Ankle,Limited Participation In Practice
Ben Skowronek,LAR,WR,,Hip,Limited Participation In Practice
Mark Andrews,BAL,TE,,Ankle,Did Not Participate In Practice
Trenton Simpson,BAL,LB,,Concussion,Did Not Participate In Practice
Zay Flowers,BAL,WR,,Hip,Did Not Participate In Practice
Ronnie Stanley,BAL,T,,Knee,Full Participation In Practice
Arthur Maulet,BAL,CB,,Illness,Full Participation In Practice
Rashod Bateman,BAL,WR,,Foot,Full Participation In Practice
Devin Duvernay,BAL,WR,,Knee,Full Participation In Practice
Damarion Williams,BAL,CB,,Ankle,Full Participation In Practice
Odell Beckham Jr.,BAL,WR,,Shoulder,Limited Participation In Practice
Marlon Humphrey,BAL,CB,,Calf,Limited Participation In Practice
Nick Vannett,LAC,TE,,Concussion,Did Not Participate In Practice
Justin Herbert,LAC,QB,,Finger,Full Participation In Practice
Keenan Allen,LAC,WR,,Shoulder,Full Participation In Practice
Rashawn Slater,LAC,T,,Knee,Full Participation In Practice
Sebastian Joseph-Day,LAC,DL,,Wrist,Full Participation In Practice
Alohi Gilman,LAC,S,,Elbow,Full Participation In Practice
Donald Parham,LAC,TE,,Hip,Full Participation In Practice
Will Clapp,LAC,OL,,Knee,Full Participation In Practice
Jalen Guyton,LAC,WR,,Groin,Limited Participation In Practice
Gerald Everett,LAC,TE,,Chest,Limited Participation In Practice
JT Woods,LAC,S,,Illness,Limited Participation In Practice
Kenneth Walker III,SEA,RB,Doubtful,Oblique,Did Not Participate In Practice
Dareke Young,SEA,WR,Doubtful,Abdomen,Did Not Participate In Practice
D.K. Metcalf,SEA,WR,,Toe,Did Not Participate In Practice
Abraham Lucas,SEA,T,Questionable,Knee,Full Participation In Practice
Jamal Adams,SEA,SS,,Knee,Full Participation In Practice
Jake Bobo,SEA,WR,,Shoulder,Full Participation In Practice
Colby Parkinson,SEA,TE,,Biceps,Full Participation In Practice
Anthony Bradford,SEA,G,,Knee,Full Participation In Practice
Tre Brown,SEA,CB,,Foot,Full Participation In Practice
Coby Bryant,SEA,CB,,Toe,Full Participation In Practice
DeeJay Dallas,SEA,RB,,Shoulder,Full Participation In Practice
Tyler Lockett,SEA,WR,,Hamstring,Full Participation In Practice
Geno Smith,SEA,QB,Questionable,Elbow,Limited Participation In Practice
Riq Woolen,SEA,CB,,Shoulder,Limited Participation In Practice
Spencer Burford,SFO,OL,Questionable,Knee,Did Not Participate In Practice
Talanoa Hufanga,SFO,S,,Knee,Did Not Participate In Practice
Javon Hargrave,SFO,DL,,Thumb,Full Participation In Practice
Shemar Jean-Charles,SFO,DB,,Shoulder,Full Participation In Practice
Samuel Womack,SFO,CB,Questionable,Knee,Full Participation In Practice
Robert Beal,SFO,DL,Questionable,Hamstring,Full Participation In Practice
Ray-Ray McCloud,SFO,WR,,Ribs,Full Participation In Practice
Aaron Banks,SFO,OL,Questionable,Toe,Limited Participation In Practice
Devin White,TAM,LB,,Foot,Did Not Participate In Practice
Jamel Dean,TAM,CB,,Ankle,Did Not Participate In Practice
Lavonte David,TAM,LB,,Groin,Did Not Participate In Practice
Ryan Neal,TAM,S,,Thumb,Full Participation In Practice
Tristan Wirfs,TAM,T,,Ankle,Full Participation In Practice
Robert Hainsey,TAM,C,,Knee,Limited Participation In Practice
Chris Godwin,TAM,WR,,Knee,Limited Participation In Practice
Carlton Davis,TAM,CB,,Hip,Limited Participation In Practice
Alex Armah,WAS,RB,Out,Hamstring,Did Not Participate In Practice
James Smith-Williams,WAS,DE,Out,Hamstring,Did Not Participate In Practice
Efe Obada,WAS,DE,Out,Tibia,Did Not Participate In Practice
Emmanuel Forbes,WAS,CB,Out,Elbow,Did Not Participate In Practice
De'Jon Harris,WAS,LB,Out,Quad,Did Not Participate In Practice
Curtis Samuel,WAS,WR,,Toe,Full Participation In Practice
Samuel Cosmi,WAS,T,,Chest,Full Participation In Practice
Jartavius Martin,WAS,DB,,Shoulder,Full Participation In Practice
Cody Barton,WAS,LB,,Ankle,Full Participation In Practice
Antonio Gibson,WAS,RB,Questionable,Toe,Limited Participation In Practice
Khaleke Hudson,WAS,LB,Questionable,Back,Limited Participation In Practice
